股票代號,股票名稱,買進,賣出,現金償還,前日餘額,今日餘額,限額,買進,賣出,現券償還,前日餘額,今日餘額,限額,資券互抵,註記,日期
1310,台苯,46,13,0,"3,411","3,444","131,967",0,1,0,12,13,"131,967",0, ,20231215
1312,國喬,452,71,1,"21,581","21,961","226,655",78,"3,411",0,"1,921","5,254","226,655",0, ,20231215
1313,聯成,76,126,2,"5,358","5,306","341,129",0,1,0,149,150,"341,129",0, ,20231215
1314,中石化,551,556,3,"70,728","70,720","946,212",0,0,0,88,88,"946,212",1, ,20231215
1315,達新,0,7,0,109,102,"24,774",0,0,0,0,0,"24,774",0, ,20231215
1316,上曜,224,292,1,"17,911","17,842","69,764",11,9,44,316,270,"69,764",0, ,20231215
1319,東陽,"1,282",886,1,"5,945","6,340","147,869",69,42,0,"1,018",991,"147,869",13, ,20231215
1321,大洋,0,65,0,"4,636","4,571","56,807",0,0,0,0,0,"56,807",0, ,20231215
1323,永裕,0,0,0,17,17,"22,818",0,0,0,0,0,"22,818",0, ,20231215
1324,地球,234,30,0,"3,691","3,895","18,780",13,2,0,142,131,"18,780",1, ,20231215
1325,恆大,183,254,0,"2,971","2,900","21,320",66,90,0,"1,372","1,396","21,320",139, ,20231215
1326,台化,57,64,0,"1,273","1,266","1,465,296",0,0,0,39,39,"1,465,296",0, ,20231215
1337,再生-KY,95,116,0,"16,170","16,149","67,238",0,0,0,0,0,"67,238",0, ,20231215
1338,廣華-KY,130,65,0,"4,617","4,682","20,960",17,0,0,109,92,"20,960",0, ,20231215
1339,昭輝,161,57,0,"2,524","2,628","18,534",7,0,0,25,18,"18,534",1, ,20231215
1340,勝悅-KY,1,4,0,904,901,"38,230",0,0,0,0,0,"38,230",0, ,20231215
1342,八貫,73,101,0,"3,384","3,356","17,832",0,0,0,9,9,"17,832",0, ,20231215
1402,遠東新,52,161,0,"2,338","2,229","1,338,218",0,0,0,22,22,"1,338,218",0, ,20231215
1409,新纖,310,130,0,"5,981","6,161","404,602",0,0,0,0,0,"404,602",0, ,20231215
1410,南染,4,1,0,301,304,"15,750",0,0,0,0,0,"15,750",0, ,20231215
1413,宏洲,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
1414,東和,0,0,0,"2,267","2,267","55,000",0,0,0,0,0,"55,000",0, ,20231215
1416,廣豐,97,0,0,"1,935","2,032","46,335",0,0,0,5,5,"46,335",0, ,20231215
1417,嘉裕,67,7,0,"4,430","4,490","47,485",0,0,0,4,4,"47,485",0, ,20231215
1418,東華,0,0,0,707,707,"11,708",0,0,0,0,0,"11,708",0, ,20231215
1419,新紡,3,5,0,644,642,"75,010",0,0,0,0,0,"75,010",0, ,20231215
1423,利華,3,4,0,"1,700","1,699","24,912",0,0,0,0,0,"24,912",0, ,20231215
1432,大魯閣,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
