代號,名稱,前日餘額,賣出,買進,現券,今日餘額,限額,前日餘額,當日賣出,當日還券,當日調整,當日餘額,次一營業日可限額,備註,日期
00922,國泰台灣領袖50,"12,000",0,0,0,"12,000","144,921,500","2,843,000",0,0,0,"2,843,000","2,164,366", ,20231215
00923,群益台ESG低碳50,"4,000",0,0,0,"4,000","179,980,750","7,032,000","29,000",0,0,"7,061,000","2,375,025", ,20231215
00924,復華S&P500成長,0,0,0,0,0,"28,400,750","1,945,000","1,000",0,0,"1,946,000","405,750", ,20231215
00925,新光標普電動車,0,0,0,0,0,"1,937,750",0,0,0,0,0,"100,895", ,20231215
00926,凱基全球菁英55,0,0,0,0,0,"6,495,500","277,000",0,0,0,"277,000","172,963", ,20231215
00927,群益半導體收益,0,0,0,0,0,"41,349,250","2,582,000","2,000",0,0,"2,584,000","638,066", ,20231215
00929,復華台灣科技優息,0,0,0,0,0,"1,479,159,750","48,511,000","3,661,000",0,0,"52,172,000","24,436,787",X ,20231215
00930,永豐ESG低碳高息,0,0,0,0,0,"26,944,750","140,000",0,0,0,"140,000","667,610", ,20231215
00932,兆豐永續高息等權,0,0,0,0,0,"60,570,750","1,040,000",0,0,0,"1,040,000","1,058,143", ,20231215
00934,中信成長高股息,0,0,0,0,0,"139,381,500","3,210,000",0,0,0,"3,210,000","4,867,304", ,20231215
00935,野村臺灣新科技50,0,0,0,0,0,"50,626,000","4,040,000","133,000",0,0,"4,173,000","2,978,946", ,20231215
00936,台新永續高息中小,"12,000",0,0,0,"12,000","66,449,250","557,000",0,0,0,"557,000","4,782,521", ,20231215
1101,台泥,"107,000","8,000","1,000",0,"114,000","1,887,795,435","119,781,046","621,000","285,000",0,"120,117,046","7,072,129", ,20231215
1102,亞泥,"1,000",0,0,0,"1,000","886,640,720","25,904,000","1,548,000",0,0,"27,452,000","1,692,331", ,20231215
1103,嘉泥,0,0,0,0,0,"197,561,864","4,395,100","8,000",0,0,"4,403,100","76,895", ,20231215
1104,環泥,"7,000",0,0,0,"7,000","168,304,366","6,284,970","54,000",0,0,"6,338,970","296,942", ,20231215
1108,幸福,"1,000",0,0,0,"1,000","101,184,512","1,712,000",0,0,0,"1,712,000","183,527", ,20231215
1109,信大,0,0,0,0,0,"85,289,717","309,000",0,0,0,"309,000","45,949", ,20231215
1110,東泥,0,0,0,0,0,"143,000,199","616,000",0,0,0,"616,000","27,396", ,20231215
1201,味全,0,0,0,0,0,"126,515,728","3,451,338","16,000",0,0,"3,467,338","94,561", ,20231215
1203,味王,0,0,0,0,0,"60,000,000","63,000","1,000",0,0,"64,000","13,409", ,20231215
1210,大成,"20,000","1,000",0,0,"21,000","223,691,805","4,679,050","51,000",0,0,"4,730,050","497,857", ,20231215
1213,大飲,0,0,0,0,0,0,0,0,0,0,0,0,XV ,20231215
1215,卜蜂,"5,000",0,"2,000",0,"3,000","73,697,524","1,766,900","5,000",0,0,"1,771,900","96,083", ,20231215
1216,統一,"31,000","1,000",0,0,"32,000","1,420,503,855","7,577,067","2,173,000","360,000",0,"9,390,067","3,655,691", ,20231215
1217,愛之味,"35,000","4,000",0,"4,000","35,000","123,628,334","9,697,000","52,000","72,000",0,"9,677,000","645,095", ,20231215
1218,泰山,"81,000",0,0,0,"81,000","124,999,759","5,392,908","1,000","1,000",0,"5,392,908","243,214", ,20231215
1219,福壽,0,0,0,0,0,"82,915,845","2,306,880","1,000",0,0,"2,307,880","85,752", ,20231215
1220,台榮,0,0,0,0,0,"44,269,486","1,054,000",0,0,0,"1,054,000","49,126", ,20231215
1225,福懋油,0,0,0,0,0,"57,409,551","63,000",0,0,0,"63,000","5,421", ,20231215
1227,佳格,"3,000",0,0,0,"3,000","228,772,397","6,542,409","10,000","278,000",0,"6,274,409","148,427", ,20231215
1229,聯華,"16,000",0,"2,000",0,"14,000","395,934,891","5,175,900","63,000",0,0,"5,238,900","354,000", ,20231215
1231,聯華食,0,0,0,0,0,"61,664,147","1,057,500","1,000",0,0,"1,058,500","35,236", ,20231215
1232,大統益,0,0,0,0,0,"39,993,728","382,000",0,0,0,"382,000","11,274", ,20231215
1233,天仁,0,0,0,0,0,"22,647,987","59,000",0,0,0,"59,000","2,628", ,20231215
1234,黑松,0,0,0,0,0,"100,467,773","486,000","3,000",0,0,"489,000","38,180", ,20231215
1235,興泰,0,0,0,0,0,"37,416,237","15,000",0,0,0,"15,000","3,026", ,20231215
1236,宏亞,0,0,0,0,0,"21,668,502","34,000",0,0,0,"34,000","7,308", ,20231215
1256,鮮活果汁-KY,0,0,0,0,0,"8,460,540","77,000",0,0,0,"77,000","2,283", ,20231215
1301,台塑,"17,000",0,0,0,"17,000","1,591,435,195","58,767,340","50,000","258,000",0,"58,559,340","1,627,906", ,20231215
1303,南亞,"73,000",0,"9,000",0,"64,000","1,982,705,397","38,987,664","404,000","1,000",0,"39,390,664","2,000,239", ,20231215
1304,台聚,"207,000","20,000","2,000",0,"225,000","297,190,875","8,276,000","266,000","27,000",0,"8,515,000","357,595", ,20231215
1305,華夏,"15,000",0,"1,000",0,"14,000","145,262,623","5,920,750","5,000","3,000",0,"5,922,750","397,339", ,20231215
1307,三芳,"5,000",0,0,0,"5,000","99,454,531","968,000",0,0,0,"968,000","181,806", ,20231215
1308,亞聚,"191,000",0,0,0,"191,000","148,435,979","12,584,690","176,000","257,000",0,"12,503,690","233,420", ,20231215
1309,台達化,"13,000",0,"1,000",0,"12,000","99,396,712","2,377,150","1,000",0,0,"2,378,150","130,880", ,20231215
1310,台苯,"12,000","1,000",0,0,"13,000","131,967,441","4,703,000",0,0,0,"4,703,000","253,025", ,20231215
1312,國喬,"1,921,000","3,411,000","78,000",0,"5,254,000","226,655,082","20,406,000","516,000",0,0,"20,922,000","754,687", ,20231215
1313,聯成,"149,000","1,000",0,0,"150,000","341,129,026","6,543,000",0,0,0,"6,543,000","522,076", ,20231215
1314,中石化,"88,000",0,0,0,"88,000","946,212,532","100,565,807","334,000",0,0,"100,899,807","2,601,144", ,20231215
1315,達新,0,0,0,0,0,"24,774,750","51,000",0,0,0,"51,000","4,363", ,20231215
1316,上曜,"316,000","9,000","11,000","44,000","270,000","69,764,490","3,781,739",0,"69,000",0,"3,712,739","732,087", ,20231215
